Track file,G:\Water Maze Data\xxx_0001\data\track_00001.trk
Object,0
Samples,1500
Name,9,
Goal Position,NE,
Comment,,
Trial,1,
Sample no.,Time,X,Y,Area,ZONES [Acquisition Zonedef],ZONES [after rec],Distance to zone [Arena],Distance to zone border [Arena],Distance to point [Arena],Distance moved,Velocity
249,19.8400,140.7833,76.2725,111.0000,center,q4,0.0000,69.4576,28.2993,2.0162,25.2022
250,19.9200,139.3576,78.0545,112.0000,center,q4,0.0000,71.5850,26.1434,2.2822,28.5270
251,20.0000,137.5755,79.8366,111.0000,center,q4,0.0000,73.7784,23.9100,2.5202,31.5028
252,20.0800,136.1499,81.2622,118.0000,center,q4,0.0000,75.5092,22.1677,2.0162,25.2022
253,20.1600,134.3678,83.0443,110.0000,center,q4,0.0000,77.5262,20.0620,2.5202,31.5028
254,20.2400,132.9422,84.4700,110.0000,center,q4,0.0000,79.1438,18.4525,2.0162,25.2022
255,20.3200,131.1601,85.8956,111.0000,center,q4,0.0000,80.6282,16.9225,2.2822,28.5270
256,20.4000,129.3780,87.3213,113.0000,center,q4,0.0000,82.0030,15.5778,2.2822,28.5270
257,20.4800,127.9524,88.7469,110.0000,center,q4,0.0000,83.2185,14.3909,2.0162,25.2022
258,20.5600,125.8139,90.5290,117.0000,center,q4,0.0000,84.4399,13.3275,2.7837,34.7960
259,20.6400,124.0318,91.9546,115.0000,center,q4,0.0000,85.0865,12.8912,2.2822,28.5270
260,20.7200,122.2498,93.3803,116.0000,center,q3,0.0000,85.3258,12.8514,2.2822,28.5270
261,20.8000,120.8241,94.8059,114.0000,center,q3,0.0000,85.4657,12.9303,2.0162,25.2022
262,20.8800,118.6856,95.8752,113.0000,center,q3,0.0000,84.5248,14.1133,2.3909,29.8862
263,20.9600,116.9036,96.9444,115.0000,center,q3,0.0000,83.5225,15.2465,2.0782,25.9779
264,21.0400,115.1215,98.3701,108.0000,center,q3,0.0000,82.4302,16.4641,2.2822,28.5270
265,21.1200,113.3394,99.0829,118.0000,center,q3,0.0000,80.9113,18.0252,1.9193,23.9918
266,21.2000,111.2010,100.1521,113.0000,center,q3,0.0000,78.9896,19.9515,2.3909,29.8862
267,21.2800,109.0625,100.8650,114.0000,center,q3,0.0000,76.9927,21.9980,2.2542,28.1769
268,21.3600,107.2804,101.5778,116.0000,center,q3,0.0000,75.2446,23.7256,1.9193,23.9918
269,21.4400,105.1419,102.2906,114.0000,center,q3,0.0000,73.1351,25.8371,2.2542,28.1769
270,21.5200,103.3599,103.0035,120.0000,center,q3,0.0000,71.3717,27.6144,1.9193,23.9918
271,21.6000,101.2214,104.0727,109.0000,center,q3,0.0000,69.1892,29.7787,2.3909,29.8862
272,21.6800,99.0829,104.7855,116.0000,center,q3,0.0000,67.0294,31.9514,2.2542,28.1769
273,21.7600,97.3008,105.8548,114.0000,center,q3,0.0000,65.2236,33.8095,2.0782,25.9779
274,21.8400,95.8752,106.5676,115.0000,center,q3,0.0000,63.6944,35.2983,1.5939,19.9241
275,21.9200,94.4495,107.6368,112.0000,center,q3,0.0000,62.1101,36.8407,1.7821,22.2758
276,22.0000,93.3803,109.0625,115.0000,center,q3,0.0000,60.8382,38.1086,1.7821,22.2758
277,22.0800,92.6675,110.8445,110.0000,center,q3,0.0000,59.8191,39.1383,1.9193,23.9918
278,22.1600,91.9546,112.9830,115.0000,center,q3,0.0000,58.6124,40.3216,2.2542,28.1769
279,22.2400,91.2418,114.4087,122.0000,center,q3,0.0000,57.5726,41.3882,1.5939,19.9241
280,22.3200,90.8854,116.1907,119.0000,center,q3,0.0000,56.6080,42.2602,1.8174,22.7170
281,22.4000,90.5290,118.3292,117.0000,center,q3,0.0000,55.5296,43.3174,2.1680,27.0997
282,22.4800,89.8162,119.7549,113.0000,center,q3,0.0000,54.3539,44.5065,1.5939,19.9241
283,22.5600,89.1033,121.8934,113.0000,center,q3,0.0000,52.7600,46.0112,2.2542,28.1769
284,22.6400,88.3905,123.3190,113.0000,center,q3,0.0000,51.4841,47.2615,1.5939,19.9241
285,22.7200,87.3213,125.1011,103.0000,center,q3,0.0000,49.7308,49.0113,2.0782,25.9779
286,22.8000,86.2520,126.5267,109.0000,center,q3,0.0000,48.1052,50.6179,1.7821,22.2758
287,22.8800,84.8264,127.5960,109.0000,center,q3,0.0000,46.3337,52.3790,1.7821,22.2758
288,22.9600,83.4007,128.6652,108.0000,center,q3,0.0000,44.5631,54.1416,1.7821,22.2758
289,23.0400,81.9751,129.7345,105.0000,center,q3,0.0000,42.7934,55.9053,1.7821,22.2758
290,23.1200,79.8366,130.4473,107.0000,center,q3,0.0000,40.5873,58.1242,2.2542,28.1769
291,23.2000,78.4109,131.1601,117.0000,center,q3,0.0000,38.9975,59.7174,1.5939,19.9241
292,23.2800,76.6289,131.5165,110.0000,center,q3,0.0000,37.2891,61.4574,1.8174,22.7170
293,23.3600,74.8468,131.5165,108.0000,center,q3,0.0000,35.7054,63.0387,1.7821,22.2758
294,23.4400,73.4211,131.5165,111.0000,center,q3,0.0000,34.4303,64.3113,1.4257,17.8207
295,23.5200,71.9955,131.5165,115.0000,center,q3,0.0000,33.1541,65.5902,1.4257,17.8207
296,23.6000,70.5698,130.8037,107.0000,center,q3,0.0000,32.1978,66.5723,1.5939,19.9241
297,23.6800,69.5006,130.0909,102.0000,center,q3,0.0000,31.5602,67.2517,1.2851,16.0633
298,23.7600,68.7878,129.3780,98.0000,center,q3,0.0000,31.2426,67.6207,1.0081,12.6011
299,23.8400,68.7878,127.9524,107.0000,center,q3,0.0000,31.7908,67.0736,1.4257,17.8207
300,23.9200,68.7878,126.8831,99.0000,center,q3,0.0000,32.1662,66.6803,1.0692,13.3655
301,24.0000,69.5006,125.4575,107.0000,center,q3,0.0000,33.3623,65.5097,1.5939,19.9241
302,24.0800,70.2134,124.7447,105.0000,center,q3,0.0000,34.2639,64.5958,1.0081,12.6011
303,24.1600,71.2827,123.6754,105.0000,center,q3,0.0000,35.6271,63.2304,1.5121,18.9017
304,24.2400,73.0647,122.9626,105.0000,center,q3,0.0000,37.5454,61.3130,1.9193,23.9918
305,24.3200,74.4904,122.6062,109.0000,center,q3,0.0000,39.0073,59.8495,1.4695,18.3691
306,24.4000,76.2725,122.2498,109.0000,center,q3,0.0000,40.8058,58.0504,1.8174,22.7170
307,24.4800,78.0545,122.2498,104.0000,center,q3,0.0000,42.4910,56.3743,1.7821,22.2758
308,24.5600,79.8366,122.2498,108.0000,center,q3,0.0000,44.1449,54.7049,1.7821,22.2758
309,24.6400,81.6187,122.2498,106.0000,center,q3,0.0000,45.8043,53.0428,1.7821,22.2758
310,24.7200,83.4007,122.2498,107.0000,center,q3,0.0000,47.4726,51.3888,1.7821,22.2758
311,24.8000,85.5392,122.6062,108.0000,center,q3,0.0000,49.2534,49.5570,2.1680,27.0997
312,24.8800,87.6777,122.6062,106.0000,center,q3,0.0000,51.1661,47.6041,2.1385,26.7310
313,24.9600,89.4597,122.6062,115.0000,center,q3,0.0000,52.7600,45.9893,1.7821,22.2758
314,25.0400,91.5982,122.9626,110.0000,center,q3,0.0000,54.5126,44.2297,2.1680,27.0997
315,25.1200,93.3803,122.6062,114.0000,center,q3,0.0000,56.2366,42.4837,1.8174,22.7170
316,25.2000,95.5188,122.2498,108.0000,center,q3,0.0000,58.2570,40.4311,2.1680,27.0997
317,25.2800,97.6573,121.5369,111.0000,center,q3,0.0000,60.4528,38.2154,2.2542,28.1769
318,25.3600,99.4393,121.1805,114.0000,center,q3,0.0000,62.1642,36.4915,1.8174,22.7170
319,25.4400,101.5778,120.1113,120.0000,center,q3,0.0000,64.5492,34.1058,2.3909,29.8862
320,25.5200,103.3599,119.3985,113.0000,center,q3,0.0000,66.4307,32.2097,1.9193,23.9918
321,25.6000,105.4983,118.6856,113.0000,center,q3,0.0000,68.6130,30.0133,2.2542,28.1769
322,25.6800,107.2804,117.9728,112.0000,center,q3,0.0000,70.4987,28.1259,1.9193,23.9918
323,25.7600,109.4189,117.2600,115.0000,center,q3,0.0000,72.6393,25.9462,2.2542,28.1769
324,25.8400,111.5574,116.5472,114.0000,center,q2,0.0000,74.7559,23.7804,2.2542,28.1769
325,25.9200,113.3394,115.8343,110.0000,center,q2,0.0000,76.5916,21.9183,1.9193,23.9918
326,26.0000,115.8343,115.1215,111.0000,center,q2,0.0000,78.9027,19.5089,2.5947,32.4341
327,26.0800,117.6164,114.7651,116.0000,center,q2,0.0000,80.4429,17.9212,1.8174,22.7170
328,26.1600,120.1113,114.4087,120.0000,center,q2,0.0000,82.3346,15.8857,2.5202,31.5028
329,26.2400,121.8934,114.0523,114.0000,center,q2,0.0000,83.6843,14.4458,1.8174,22.7170
330,26.3200,124.0318,113.6959,124.0000,center,q2,0.0000,85.0865,12.9049,2.1680,27.0997
331,26.4000,126.1703,113.6959,120.0000,center,q2,0.0000,85.9023,11.8920,2.1385,26.7310
332,26.4800,128.3088,113.3394,112.0000,center,q2,0.0000,86.7967,10.8545,2.1680,27.0997
333,26.5600,130.8037,112.9830,112.0000,center,q2,0.0000,87.3940,10.1673,2.5202,31.5028
334,26.6400,132.5858,112.9830,115.0000,center,q2,0.0000,87.3089,10.2929,1.7821,22.2758
335,26.7200,134.7242,112.6266,112.0000,center,q2,0.0000,87.2456,10.5021,2.1680,27.0997
336,26.8000,136.8627,112.2702,119.0000,center,q2,0.0000,86.8596,11.1374,2.1680,27.0997
337,26.8800,139.0012,111.9138,115.0000,center,q1,0.0000,86.0382,12.1322,2.1680,27.0997
338,26.9600,141.1397,111.9138,121.0000,center,q1,0.0000,84.7012,13.6418,2.1385,26.7310
339,27.0400,143.2782,111.5574,120.0000,center,q1,0.0000,83.4289,15.0928,2.1680,27.0997
340,27.1200,145.4166,111.5574,119.0000,center,q1,0.0000,81.7617,16.8817,2.1385,26.7310
341,27.2000,147.1987,111.5574,124.0000,center,q1,0.0000,80.2563,18.4295,1.7821,22.2758
342,27.2800,149.3372,111.5574,123.0000,center,q1,0.0000,78.4215,20.3374,2.1385,26.7310
343,27.3600,151.4757,111.5574,123.0000,center,q1,0.0000,76.5086,22.2873,2.1385,26.7310
344,27.4400,153.6141,111.5574,122.0000,center,q1,0.0000,74.5926,24.2690,2.1385,26.7310
345,27.5200,155.7526,111.9138,116.0000,center,q1,0.0000,72.4721,26.3960,2.1680,27.0997
346,27.6000,157.8911,111.9138,121.0000,center,q1,0.0000,70.4627,28.4130,2.1385,26.7310
347,27.6800,160.0296,112.6266,120.0000,center,q1,0.0000,68.2092,30.6671,2.2542,28.1769
348,27.7600,162.1681,112.9830,126.0000,center,q1,0.0000,66.0779,32.8091,2.1680,27.0997
349,27.8400,163.9501,113.6959,121.0000,center,q1,0.0000,64.1593,34.7246,1.9193,23.9918
350,27.9200,166.0886,114.4087,115.0000,center,q1,0.0000,61.9062,36.9787,2.2542,28.1769
351,28.0000,167.8707,114.7651,118.0000,center,q1,0.0000,60.1114,38.7833,1.8174,22.7170
352,28.0800,170.0092,115.4779,116.0000,center,q1,0.0000,57.8587,41.0374,2.2542,28.1769
353,28.1600,171.7912,116.1907,118.0000,center,q1,0.0000,55.9399,42.9526,1.9193,23.9918
354,28.2400,173.9297,116.9036,117.0000,center,q1,0.0000,53.6873,45.2068,2.2542,28.1769
355,28.3200,175.7118,117.6164,122.0000,center,q1,0.0000,51.7683,47.1224,1.9193,23.9918
356,28.4000,177.4938,118.3292,123.0000,center,q1,0.0000,49.8495,49.0383,1.9193,23.9918
357,28.4800,179.6323,119.0421,114.0000,center,q1,0.0000,47.5969,51.2924,2.2542,28.1769
358,28.5600,181.4144,119.7549,123.0000,center,q1,0.0000,45.6780,53.2086,1.9193,23.9918
359,28.6400,183.1965,120.4677,120.0000,center,q1,0.0000,43.7591,55.1250,1.9193,23.9918
360,28.7200,184.9785,121.1805,115.0000,center,q1,0.0000,41.8403,57.0416,1.9193,23.9918
361,28.8000,186.4042,122.2498,113.0000,center,q1,0.0000,40.1341,58.7382,1.7821,22.2758
362,28.8800,188.1862,123.3190,106.0000,center,q1,0.0000,38.0979,60.7751,2.0782,25.9779
363,28.9600,189.9683,124.0318,115.0000,center,q1,0.0000,36.1808,62.6932,1.9193,23.9918
364,29.0400,191.3940,125.1011,111.0000,center,q1,0.0000,34.4893,64.3987,1.7821,22.2758
365,29.1200,193.1760,125.8139,114.0000,center,q1,0.0000,32.5724,66.3173,1.9193,23.9918
366,29.2000,194.9581,126.5267,109.0000,center,q1,0.0000,30.6536,68.2360,1.9193,23.9918
367,29.2800,196.3837,127.2396,111.0000,center,q1,0.0000,29.0624,69.8207,1.5939,19.9241
368,29.3600,198.1658,127.9524,106.0000,center,q1,0.0000,27.1436,71.7396,1.9193,23.9918
369,29.4400,199.9479,129.0216,102.0000,center,q1,0.0000,25.0860,73.7843,2.0782,25.9779
370,29.5200,201.3735,129.7345,104.0000,center,q1,0.0000,23.4963,75.3703,1.5939,19.9241
371,29.6000,203.1556,130.4473,110.0000,wall,q1,0.0000,21.5770,77.2895,1.9193,23.9918
372,29.6800,204.5813,131.1601,109.0000,wall,q1,0.0000,19.9878,78.8759,1.5939,19.9241
373,29.7600,206.3633,131.8729,105.0000,wall,q1,0.0000,18.0684,80.7951,1.9193,23.9918
374,29.8400,207.7890,132.5858,106.0000,wall,q1,0.0000,16.4800,82.3818,1.5939,19.9241
375,29.9200,209.5710,133.6550,105.0000,wall,q1,0.0000,14.4336,84.4306,2.0782,25.9779
376,30.0000,211.3531,134.3678,103.0000,wall,q1,0.0000,12.5151,86.3499,1.9193,23.9918
377,30.0800,213.1352,134.7242,102.0000,wall,q1,0.0000,10.7221,88.1396,1.8174,22.7170
378,30.1600,214.5608,135.4371,108.0000,wall,q1,0.0000,9.1356,89.7267,1.5939,19.9241
379,30.2400,216.3429,135.7935,112.0000,wall,q1,0.0000,7.3476,91.5169,1.8174,22.7170
380,30.3200,217.0557,136.1499,113.0000,wall,q1,0.0000,6.5526,92.3103,0.7970,9.9621
381,30.4000,217.4121,135.7935,91.0000,wall,q1,0.0000,6.3757,92.5151,0.5040,6.3006
382,30.4800,217.0557,135.7935,82.0000,wall,q1,0.0000,6.6964,92.1822,0.3564,4.4552
383,30.5600,216.6993,135.4371,80.0000,wall,q1,0.0000,7.1727,91.7221,0.5040,6.3006
384,30.6400,216.3429,135.4371,81.0000,wall,q1,0.0000,7.4932,91.3891,0.3564,4.4552
385,30.7200,216.6993,135.0807,91.0000,wall,q1,0.0000,7.3390,91.5960,0.5040,6.3006
386,30.8000,216.6993,134.7242,94.0000,wall,q1,0.0000,7.4421,91.4711,0.3564,4.4552
387,30.8800,216.6993,134.3678,100.0000,wall,q1,0.0000,7.5523,91.3473,0.3564,4.4552
388,30.9600,217.4121,133.6550,101.0000,wall,q1,0.0000,7.1015,91.7747,1.0081,12.6011
389,31.0400,217.7685,132.9422,120.0000,wall,q1,0.0000,7.0205,91.8742,0.7970,9.9621
390,31.1200,218.1250,132.2293,125.0000,wall,q1,0.0000,7.0024,91.9806,0.7970,9.9621
391,31.2000,218.4814,130.8037,123.0000,wall,q1,0.0000,7.1015,91.8741,1.4695,18.3691
392,31.2800,219.1942,129.7345,127.0000,wall,q1,0.0000,6.8557,92.2356,1.2851,16.0633
393,31.3600,219.5506,128.3088,117.0000,wall,q1,0.0000,6.8557,92.1721,1.4695,18.3691
394,31.4400,219.5506,126.8831,129.0000,wall,q1,0.0000,7.2080,91.7881,1.4257,17.8207
395,31.5200,218.8378,123.3190,110.0000,wall,q1,0.0000,8.7376,90.2244,3.6347,45.4340
396,31.6000,218.4814,120.4677,115.0000,wall,q1,0.0000,9.7868,89.2701,2.8735,35.9187
397,31.6800,218.1250,118.3292,109.0000,wall,q1,0.0000,10.4885,88.5211,2.1680,27.0997
398,31.7600,217.7685,115.8343,102.0000,wall,q1,0.0000,11.1916,87.7656,2.5202,31.5028
399,31.8400,217.4121,114.0523,109.0000,wall,q1,0.0000,11.8477,87.1656,1.8174,22.7170
400,31.9200,217.0557,111.9138,104.0000,wall,q1,0.0000,12.5202,86.5614,2.1680,27.0997
401,32.0000,216.3429,110.1317,106.0000,wall,q1,0.0000,13.4920,85.6820,1.9193,23.9918
402,32.0800,215.6301,107.9932,101.0000,wall,q1,0.0000,14.2565,84.8145,2.2542,28.1769
403,32.1600,214.5608,106.2112,99.0000,wall,q1,0.0000,15.3299,83.6561,2.0782,25.9779
404,32.2400,213.8480,104.7855,105.0000,wall,q1,0.0000,16.1373,82.8977,1.5939,19.9241
405,32.3200,213.1352,103.0035,112.0000,wall,q1,0.0000,17.1078,82.1617,1.9193,23.9918
406,32.4000,212.0659,101.2214,101.0000,wall,q1,0.0000,17.9485,81.1080,2.0782,25.9779
407,32.4800,211.3531,99.7957,99.0000,wall,q1,0.0000,18.5472,80.4362,1.5939,19.9241
408,32.5600,210.2839,98.0137,95.0000,wall,q1,0.0000,19.6027,79.4555,2.0782,25.9779
409,32.6400,209.2146,96.5880,95.0000,wall,q1,0.0000,20.6720,78.4885,1.7821,22.2758
410,32.7200,208.1454,95.5188,98.0000,wall,q1,0.0000,21.5740,77.5161,1.5121,18.9017
411,32.8000,206.7197,94.0931,90.0000,center,q1,0.0000,22.7937,76.2468,2.0162,25.2022
412,32.8800,205.6505,93.0239,99.0000,center,q1,0.0000,23.6955,75.3163,1.5121,18.9017
413,32.9600,204.2248,91.5982,102.0000,center,q1,0.0000,24.8494,74.1053,2.0162,25.2022
414,33.0400,203.1556,90.1726,103.0000,center,q1,0.0000,25.7260,73.2811,1.7821,22.2758
415,33.1200,202.0864,89.1033,104.0000,center,q1,0.0000,26.6143,72.4230,1.5121,18.9017
416,33.2000,200.6607,87.6777,101.0000,center,q1,0.0000,27.6651,71.3126,2.0162,25.2022
417,33.2800,199.2351,86.2520,99.0000,center,q1,0.0000,28.6996,70.2426,2.0162,25.2022
418,33.3600,198.1658,84.8264,101.0000,center,q1,0.0000,29.3906,69.5590,1.7821,22.2758
419,33.4400,197.0966,83.0443,97.0000,center,q1,0.0000,29.9938,69.0160,2.0782,25.9779
420,33.5200,196.0273,81.6187,93.0000,center,q1,0.0000,30.5145,68.4204,1.7821,22.2758
421,33.6000,195.3145,80.1930,97.0000,center,q1,0.0000,30.6640,68.2026,1.5939,19.9241
422,33.6800,194.9581,78.7673,94.0000,center,q1,0.0000,30.5145,68.3550,1.4695,18.3691
423,33.7600,194.6017,77.3417,98.0000,center,q1,0.0000,30.3287,68.5385,1.4695,18.3691
424,33.8400,194.2453,75.9160,105.0000,center,q1,0.0000,30.1269,68.7529,1.4695,18.3691
425,33.9200,193.8889,74.1340,107.0000,center,q1,0.0000,29.6488,69.1451,1.8174,22.7170
426,34.0000,193.1760,73.0647,95.0000,center,q1,0.0000,29.8069,68.9517,1.2851,16.0633
427,34.0800,192.4632,71.9955,98.0000,center,q1,0.0000,29.9663,68.7818,1.2851,16.0633
428,34.1600,191.3940,70.5698,97.0000,center,q1,0.0000,30.2616,68.4872,1.7821,22.2758
429,34.2400,190.3247,69.8570,101.0000,center,q1,0.0000,30.8128,67.8890,1.2851,16.0633
430,34.3200,188.8991,69.1442,100.0000,center,q1,0.0000,31.6627,67.0016,1.5939,19.9241
431,34.4000,187.4734,68.4314,102.0000,center,q1,0.0000,32.5275,66.1408,1.5939,19.9241
432,34.4800,186.4042,68.0749,104.0000,center,q1,0.0000,33.2154,65.4184,1.1271,14.0885
433,34.5600,184.6221,68.0749,111.0000,center,q1,0.0000,34.7206,63.9154,1.7821,22.2758
434,34.6400,183.1965,68.0749,112.0000,center,q4,0.0000,35.9271,62.7235,1.4257,17.8207
435,34.7200,182.1272,68.4314,116.0000,center,q4,0.0000,37.0001,61.6366,1.1271,14.0885
436,34.8000,180.7016,69.1442,111.0000,center,q4,0.0000,38.5734,60.0561,1.5939,19.9241
437,34.8800,179.6323,69.8570,112.0000,center,q4,0.0000,39.8562,58.7710,1.2851,16.0633
438,34.9600,178.2067,70.5698,101.0000,center,q4,0.0000,41.4192,57.1913,1.5939,19.9241
439,35.0400,177.1374,71.6391,110.0000,center,q4,0.0000,42.9193,55.7061,1.5121,18.9017
440,35.1200,176.4246,72.7083,107.0000,center,q4,0.0000,44.1277,54.5191,1.2851,16.0633
441,35.2000,175.7118,74.1340,112.0000,center,q1,0.0000,45.4871,53.1434,1.5939,19.9241
442,35.2800,174.9989,75.5596,116.0000,center,q1,0.0000,46.8572,51.7803,1.5939,19.9241
443,35.3600,174.6425,77.3417,106.0000,center,q1,0.0000,48.1052,50.5566,1.8174,22.7170
444,35.4400,174.2861,79.1238,103.0000,center,q1,0.0000,49.3359,49.3695,1.8174,22.7170
445,35.5200,173.9297,80.5494,109.0000,center,q1,0.0000,50.3666,48.3846,1.4695,18.3691
446,35.6000,173.2169,81.9751,102.0000,center,q1,0.0000,51.6443,47.1050,1.5939,19.9241
447,35.6800,172.1476,83.4007,110.0000,center,q1,0.0000,53.2382,45.5225,1.7821,22.2758
448,35.7600,171.4348,84.4700,109.0000,center,q1,0.0000,54.3539,44.4266,1.2851,16.0633
449,35.8400,170.3656,85.8956,108.0000,center,q1,0.0000,55.9478,42.8726,1.7821,22.2758
450,35.9200,168.9399,86.9649,106.0000,center,q1,0.0000,57.7004,41.1428,1.7821,22.2758
451,36.0000,167.5143,88.3905,107.0000,center,q1,0.0000,59.5712,39.2854,2.0162,25.2022
452,36.0800,166.4450,89.8162,109.0000,center,q1,0.0000,61.0882,37.7789,1.7821,22.2758
453,36.1600,165.0194,91.2418,109.0000,center,q1,0.0000,62.9107,35.9597,2.0162,25.2022
454,36.2400,163.9501,92.6675,115.0000,center,q1,0.0000,64.4083,34.5031,1.7821,22.2758
455,36.3200,163.2373,94.0931,119.0000,center,q1,0.0000,65.5258,33.4223,1.5939,19.9241
456,36.4000,162.1681,95.8752,125.0000,center,q1,0.0000,66.9953,31.9575,2.0782,25.9779
457,36.4800,161.4552,97.3008,119.0000,center,q1,0.0000,67.9965,30.9767,1.5939,19.9241
458,36.5600,161.0988,99.0829,115.0000,center,q1,0.0000,68.6140,30.3557,1.8174,22.7170
459,36.6400,160.3860,100.5086,116.0000,center,q1,0.0000,69.5152,29.5028,1.5939,19.9241
460,36.7200,159.6732,102.2906,114.0000,center,q1,0.0000,70.2867,28.7044,1.9193,23.9918
461,36.8000,158.6039,103.7163,114.0000,center,q1,0.0000,71.3397,27.6449,1.7821,22.2758
462,36.8800,157.8911,105.4983,117.0000,center,q1,0.0000,71.9540,27.0507,1.9193,23.9918
463,36.9600,156.4655,106.5676,116.0000,center,q1,0.0000,73.1907,25.7662,1.7821,22.2758
464,37.0400,155.0398,108.3497,120.0000,center,q1,0.0000,74.2547,24.6939,2.2822,28.5270
465,37.1200,153.9706,109.4189,121.0000,center,q1,0.0000,75.0036,23.9257,1.5121,18.9017
466,37.2000,152.5449,110.8445,125.0000,center,q1,0.0000,75.8482,23.0165,2.0162,25.2022
467,37.2800,151.4757,112.2702,123.0000,center,q1,0.0000,76.1900,22.5764,1.7821,22.2758
468,37.3600,150.0500,113.6959,125.0000,center,q1,0.0000,76.7109,21.9603,2.0162,25.2022
469,37.4400,148.9808,115.1215,128.0000,center,q1,0.0000,76.7614,21.8095,1.7821,22.2758
470,37.5200,147.5551,116.5472,132.0000,center,q1,0.0000,76.8870,21.5281,2.0162,25.2022
471,37.6000,146.1295,117.9728,123.0000,center,q1,0.0000,76.8532,21.4335,2.0162,25.2022
472,37.6800,145.0602,119.0421,121.0000,center,q1,0.0000,76.7018,21.4867,1.5121,18.9017
473,37.7600,143.6346,120.4677,121.0000,center,q2,0.0000,76.3499,21.7219,2.0162,25.2022
474,37.8400,141.8525,121.8934,119.0000,center,q2,0.0000,76.0306,21.9603,2.2822,28.5270
475,37.9200,140.4269,122.9626,120.0000,center,q2,0.0000,75.6277,22.2532,1.7821,22.2758
476,38.0000,139.0012,124.3883,127.0000,center,q2,0.0000,74.7559,23.0164,2.0162,25.2022
477,38.0800,137.5755,125.4575,123.0000,center,q2,0.0000,74.1211,23.5833,1.7821,22.2758
478,38.1600,136.1499,126.8831,126.0000,center,q2,0.0000,73.0369,24.6164,2.0162,25.2022
479,38.2400,134.3678,128.3088,126.0000,center,q2,0.0000,71.8949,25.7167,2.2822,28.5270
480,38.3200,132.5858,129.7345,122.0000,center,q2,0.0000,70.6022,26.9656,2.2822,28.5270
481,38.4000,131.1601,131.1601,126.0000,center,q2,0.0000,69.2360,28.3436,2.0162,25.2022
482,38.4800,129.7345,132.2293,125.0000,center,q2,0.0000,68.1206,29.4383,1.7821,22.2758
483,38.5600,128.3088,133.6550,124.0000,center,q2,0.0000,66.6579,30.9528,2.0162,25.2022
484,38.6400,127.2396,135.0807,127.0000,center,q2,0.0000,65.1603,32.4789,1.7821,22.2758
485,38.7200,126.5267,136.8627,124.0000,center,q2,0.0000,63.2822,34.3348,1.9193,23.9918
486,38.8000,125.8139,138.6448,125.0000,center,q2,0.0000,61.4066,36.1973,1.9193,23.9918
487,38.8800,125.1011,140.4269,128.0000,center,q2,0.0000,59.5338,38.0655,1.9193,23.9918
488,38.9600,125.1011,141.8525,126.0000,center,q2,0.0000,58.1260,39.4747,1.4257,17.8207
489,39.0400,125.1011,143.9910,125.0000,center,q2,0.0000,56.0159,41.5906,2.1385,26.7310
490,39.1200,125.1011,145.7731,122.0000,center,q2,0.0000,54.2592,43.3555,1.7821,22.2758
491,39.2000,125.4575,147.5551,117.0000,center,q2,0.0000,52.5682,45.0768,1.8174,22.7170
492,39.2800,126.1703,149.3372,125.0000,center,q2,0.0000,50.9185,46.7674,1.9193,23.9918
493,39.3600,126.8831,150.7628,130.0000,center,q2,0.0000,49.5415,48.1199,1.5939,19.9241
494,39.4400,127.9524,152.5449,120.0000,center,q2,0.0000,47.7647,49.8195,2.0782,25.9779
495,39.5200,129.0216,154.3270,120.0000,center,q2,0.0000,46.0118,51.5468,2.0782,25.9779
496,39.6000,130.0909,156.1090,120.0000,center,q2,0.0000,44.2871,53.2992,2.0782,25.9779
497,39.6800,131.1601,157.5347,119.0000,center,q2,0.0000,42.9178,54.7179,1.7821,22.2758
498,39.7600,132.2293,159.3168,117.0000,center,q2,0.0000,41.0634,56.5136,2.0782,25.9779
499,39.8400,133.2986,161.0988,113.0000,center,q2,0.0000,39.2314,58.3281,2.0782,25.9779
500,39.9200,134.3678,162.8809,118.0000,center,q2,0.0000,37.4251,60.1596,2.0782,25.9779
501,40.0000,135.0807,164.6630,109.0000,center,q2,0.0000,35.6413,61.9821,1.9193,23.9918
502,40.0800,136.1499,166.4450,112.0000,center,q2,0.0000,33.8593,63.8381,2.0782,25.9779
503,40.1600,136.8627,168.2271,109.0000,center,q2,0.0000,32.0574,65.6746,1.9193,23.9918
504,40.2400,137.5755,170.0092,112.0000,center,q2,0.0000,30.1943,67.5156,1.9193,23.9918
505,40.3200,137.9320,171.7912,103.0000,center,q2,0.0000,28.3813,69.3242,1.8174,22.7170
506,40.4000,138.2884,173.5733,106.0000,center,q2,0.0000,26.5689,71.1333,1.8174,22.7170
507,40.4800,139.0012,175.3554,103.0000,center,q2,0.0000,24.7187,72.9811,1.9193,23.9918
508,40.5600,139.7140,177.1374,109.0000,center,q2,0.0000,22.8577,74.8325,1.9193,23.9918
509,40.6400,140.0704,178.9195,104.0000,center,q2,0.0000,21.0405,76.6441,1.8174,22.7170
510,40.7200,140.7833,180.7016,107.0000,wall,q2,0.0000,19.1603,78.4998,1.9193,23.9918
511,40.8000,141.4961,182.4836,107.0000,wall,q2,0.0000,17.2888,80.3584,1.9193,23.9918
512,40.8800,142.2089,184.2657,109.0000,wall,q2,0.0000,15.4290,82.2198,1.9193,23.9918
513,40.9600,142.9217,185.6913,109.0000,wall,q2,0.0000,13.9184,83.7311,1.5939,19.9241
